,Identifier,RMSE
163,MS-DAR-00049-000-00065_north,8.782053709240703e-15
164,MS-DAR-00070-000-00033_north,1.072368562557369e-14
165,MS-DAR-00208-000-00010_north,1.1313566388543682e-14
166,MS-DAR-00048-000-00299_north,1.1668516751284262e-14
167,MS-DAR-00209-00014-000-00145_north,1.3840725918390392e-14
168,MS-DAR-00009-000-00035_north,1.447014550187013e-14
169,MS-DAR-00209-00009-000-00101_north,1.91433250087355e-14
170,MS-DAR-00209-00014-000-00140_north,2.189398594775256e-14
171,MS-DAR-00088-000-00418_north,2.2430110846242125e-14
172,MS-DAR-00027-00001-000-00072_north,2.326015750684373e-14
173,MS-DAR-00209-00010-000-00158_north,2.473445824439623e-14
174,MS-DAR-00209-00014-000-00295_north,2.478499592880858e-14
175,MS-DAR-00003-000-00280_north,2.5740012440987982e-14
176,MS-DAR-00209-00014-000-00203_north,2.88298427063882e-14
177,MS-DAR-00070-000-00013_north,3.6562142777687495e-14
178,MS-DAR-00209-00014-000-00183_north,3.75683052033633e-14
179,MS-DAR-00209-00014-000-00202_north,4.13805683768249e-14
180,MS-DAR-00209-00010-000-00130_north,4.218077753658293e-14
181,MS-DAR-00209-00014-000-00201_north,4.680265330678185e-14
182,MS-DAR-00209-00010-000-00064_north,5.385234609709587e-14
183,MS-DAR-00209-00001-000-00047_north,5.4731319308522433e-14
184,MS-DAR-00185-000-00266_north,6.147486285899205e-14
185,MS-DAR-00053-00001-000-00499_north,6.385229325937509e-14
186,MS-DAR-00209-00014-000-00034_north,6.808510351328586e-14
187,MS-DAR-00209-00001-000-00222_north,7.150344413442701e-14
188,MS-DAR-00209-00008-000-00192_north,8.793623558491787e-14
189,MS-DAR-00070-000-00384_north,8.893566120174656e-14
190,MS-DAR-00209-00001-000-00221_north,9.074090755628114e-14
191,MS-DAR-00070-000-00006_north,9.481483720266153e-14
192,MS-DAR-00209-00001-000-00271_north,9.805537666701109e-14
193,MS-DAR-00077-000-00250_north,9.957216950148908e-14
194,MS-DAR-00070-000-00142_north,1.0327531903648404e-13
195,MS-DAR-00209-00014-000-00118_north,1.105908197555275e-13
196,MS-DAR-00209-00014-000-00057_north,1.1893407448297886e-13
197,MS-DAR-00053-00001-000-00506_north,1.3018564516276797e-13
198,MS-DAR-00070-000-00171_north,1.3089182894668454e-13
199,MS-DAR-00205-00011-000-00200_north,1.3169697869232532e-13
200,MS-DAR-00011-00002-000-00168_north,1.4030654950454566e-13
201,MS-DAR-00209-00014-000-00141_north,1.4063566608191088e-13
202,MS-DAR-00209-00014-000-00092_north,1.6105833072790294e-13
203,MS-DAR-00048-000-00198_north,1.6225160716427978e-13
204,MS-DAR-00209-00014-000-00033_north,1.6544208150551994e-13
205,MS-DAR-00070-000-00141_north,1.8521606390715622e-13
206,MS-DAR-00209-00001-000-00214_north,2.020273769694548e-13
207,MS-DAR-00209-00010-000-00063_north,2.0609071988002989e-13
208,MS-DAR-00209-00014-000-00144_north,2.2261600401682147e-13
209,MS-DAR-00209-00006-000-00458_north,2.3829507914799926e-13
210,MS-DAR-00209-00014-000-00026_north,2.4739638522425657e-13
211,MS-DAR-00070-000-00014_north,2.4839617158318295e-13
212,MS-DAR-00209-00014-000-00318_north,2.6211338607063e-13
213,MS-DAR-00205-00011-000-00203_north,2.6379274223461456e-13
214,MS-DAR-00053-00001-000-00501_north,2.7505287115309126e-13
215,MS-DAR-00209-00014-000-00095_north,2.8833598363093343e-13
216,MS-DAR-00209-00014-000-00096_north,2.9092858547114704e-13
217,MS-DAR-00088-000-00161_north,3.07027605724504e-13
218,MS-DAR-00209-00001-000-00185_north,3.2034032973846457e-13
219,MS-DAR-00209-00014-000-00091_north,3.3809687810916473e-13
220,MS-DAR-00209-00001-000-00062_north,3.501571955684287e-13
221,MS-DAR-00209-00010-000-00157_north,3.590107561740889e-13
222,MS-DAR-00070-000-00188_north,3.6632910798107117e-13
223,MS-DAR-00209-00014-000-00317_north,3.6892014255065555e-13
224,MS-DAR-00209-00014-000-00278_north,3.7635831361478477e-13
225,MS-DAR-00209-00014-000-00058_north,4.158251800535229e-13
226,MS-DAR-00209-00014-000-00105_north,4.441818493394832e-13
227,MS-DAR-00205-00011-000-00201_north,4.655746138647424e-13
228,MS-DAR-00209-00001-000-00108_north,4.898039206118104e-13
229,MS-DAR-00209-00014-000-00162_north,5.248534286700379e-13
230,MS-DAR-00209-00014-000-00289_north,6.083247345566829e-13
231,MS-DAR-00209-00001-000-00169_north,6.296309987799125e-13
232,MS-DAR-00053-00001-000-00505_north,7.260644113271572e-13
233,MS-DAR-00209-00001-000-00109_north,7.588370448610462e-13
234,MS-DAR-00205-00011-000-00202_north,7.731659509284995e-13
235,MS-DAR-00027-00001-000-00069_north,9.520844587706841e-13
236,MS-DAR-00088-000-00162_north,9.716906883544348e-13
237,MS-DAR-00209-00010-000-00032_north,9.718117575679312e-13
238,MS-DAR-00011-00002-000-00167_north,1.029337661031803e-12
239,MS-DAR-00209-00009-000-00102_north,1.0636746493664058e-12
240,MS-DAR-00209-00014-000-00184_north,1.078364489973717e-12
241,MS-DAR-00053-00001-000-00507_north,1.1471867511546553e-12
242,MS-DAR-00209-00009-000-00058_north,1.15497255129524e-12
243,MS-DAR-00209-00001-000-00255_north,1.2043278692458804e-12
244,MS-DAR-00209-00014-000-00165_north,1.3962652031325373e-12
245,MS-DAR-00070-000-00172_north,1.500056446855022e-12
246,MS-DAR-00209-00014-000-00277_north,1.5293805562768703e-12
247,MS-DAR-00209-00010-000-00058_north,1.6490769384023637e-12
248,MS-DAR-00209-00001-000-00280_north,1.7616344575791274e-12
249,MS-DAR-00053-00001-000-00500_north,2.038444952908392e-12
250,MS-DAR-00209-00014-000-00221_north,2.077109086672766e-12
251,MS-DAR-00209-00010-000-00016_north,3.2776106169005586e-12
252,MS-DAR-00209-00008-000-00191_north,5.257792343412711e-12
253,MS-DAR-00209-00014-000-00220_north,6.2321055953218385e-12
254,MS-DAR-00209-00001-000-00256_north,1.3169411363869398e-11
255,MS-DAR-00209-00010-000-00165_north,1.456729391609587e-11
256,MS-DAR-00209-00010-000-00031_north,1.8056690587660555e-11
257,MS-DAR-00209-00010-000-00015_north,2.8626562722283837e-11
258,MS-DAR-00209-00010-000-00057_north,3.477912805197903e-11
259,MS-DAR-00209-00001-000-00186_north,4.8671600410603135e-11
260,MS-DAR-00185-000-00525_south,0.00012064895386993057
261,MS-DAR-00209-00006-000-00459_south,0.00013056530001033474
262,MS-DAR-00061-000-00155_north,0.00013433158390621815
263,MS-DAR-00185-000-00134_south,0.00017719591023484212
264,MS-DAR-00185-000-00197_south,0.0001821758663642924
265,MS-DAR-00185-000-00197_north,0.0001893102209974427
266,MS-DAR-00085-000-00464_south,0.00019844255467148947
267,MS-DAR-00012-000-00425_north,0.00021313656866343126
268,MS-DAR-00003-000-00415_north,0.0002213231793929297
269,MS-DAR-00012-000-00185_south,0.0002248271024669867
270,MS-DAR-00205-00002-000-00610_north,0.0002263572631964631
271,MS-DAR-00003-000-00493_south,0.00022677237919504993
272,MS-DAR-00007-000-00119_south,0.00022994842194914484
273,MS-DAR-00185-000-00198_south,0.00024350355473336878
274,MS-DAR-00077-000-00124_south,0.0002610605136010544
275,MS-DAR-00205-00006-000-00021_south,0.0002640162709777574
276,MS-DAR-00209-00015-000-00083_north,0.000266264510421528
277,MS-DAR-00209-00006-000-00458_south,0.0002664026391553469
278,MS-DAR-00012-000-00197_north,0.0002704094318681781
279,MS-DAR-00003-000-00493_north,0.0002797668327450985
280,MS-DAR-00012-000-00121_south,0.0002845860113945294
281,MS-DAR-00077-000-00300_south,0.00029209992425419806
282,MS-DAR-00004-000-00474_south,0.0003006708771921029
283,MS-DAR-00205-00002-000-00612_north,0.000307364062759874
284,MS-DAR-00012-000-00419_south,0.00030772948175959795
285,MS-DAR-00209-00015-000-00084_south,0.0003142082737745421
286,MS-DAR-00209-00015-000-00083_south,0.00032121827277512515
287,MS-DAR-00085-000-00444_south,0.0003227578864020709
288,MS-DAR-00080-000-00297_south,0.00033108292834797517
289,MS-DAR-00054-000-00111_north,0.0003356921042746659
290,MS-DAR-00007-000-00119_north,0.00034093904117648373
291,MS-DAR-00004-000-00588_south,0.0003421327394739422
292,MS-DAR-00108-000-00292_north,0.0003439745700234057
293,MS-DAR-00010-00001-000-00158_north,0.00035444519193387477
294,MS-DAR-00080-000-00297_north,0.000355329046265051
295,MS-DAR-00205-00010-000-00179_north,0.0003585434085074606
296,MS-DAR-00053-00001-000-00070_south,0.00037145592448622913
297,MS-DAR-00085-000-00037_north,0.00037247628164156164
298,MS-DAR-00012-000-00243_south,0.00037443005238844295
299,MS-DAR-00058-00001-000-00024_north,0.00037680674232159
300,MS-DAR-00003-000-00029_south,0.00038353766074867006
301,MS-DAR-00012-000-00434_south,0.0003838091123641615
302,MS-DAR-00087-000-00126_north,0.0003898895285020696
303,MS-DAR-00205-00002-000-00526_south,0.00039608562421654
304,MS-DAR-00209-00010-000-00161_north,0.000396530919772455
305,MS-DAR-00205-00003-000-00630_north,0.0004110242673863346
306,MS-DAR-00088-000-00357_south,0.0004168908860402268
307,MS-DAR-00066-000-00381_north,0.000421454652441775
308,MS-DAR-00004-000-00234_north,0.00042294634202949424
309,MS-DAR-00012-000-00349_south,0.00042327395916789734
310,MS-DAR-00004-000-00588_north,0.00042656884213196014
311,MS-DAR-00012-000-00360_south,0.0004407881593529518
312,MS-DAR-00205-00002-000-00610_south,0.00044331040353451525
