"RegionId","Points:0","Points:1","Points:2"
1,462.5,2606,0
1,462.5,2607,0
1,462.5,2608,0
1,462.5,2609,0
1,462.5,2610,0
1,462.5,2611,0
1,462.5,2612,0
1,462.5,2613,0
1,462.5,2614,0
1,462.5,2615,0
1,462.5,2616,0
1,462.5,2617,0
1,462.5,2618,0
1,462.5,2619,0
1,462.5,2620,0
1,462.5,2621,0
1,462,2621.5,0
1,461.5,2622,0
1,461.5,2623,0
1,461.5,2624,0
1,461.5,2625,0
1,461.5,2626,0
1,461.5,2627,0
1,461.5,2628,0
1,461.5,2629,0
1,461.5,2630,0
1,461.5,2631,0
1,461.5,2632,0
1,461.5,2633,0
1,461,2633.5,0
1,460.5,2634,0
1,460.5,2635,0
1,460.5,2636,0
1,460.5,2637,0
1,460.5,2638,0
1,460.5,2639,0
1,460.5,2640,0
1,460.5,2641,0
1,460.5,2642,0
1,460.5,2643,0
1,460.5,2644,0
1,460.5,2645,0
1,460.5,2646,0
1,460,2646.5,0
1,459.5,2647,0
1,459.5,2648,0
1,459.5,2649,0
1,459.5,2650,0
1,459.5,2651,0
1,459.5,2652,0
1,459.5,2653,0
1,459.5,2654,0
1,459,2654.5,0
1,458.5,2655,0
1,459,2655.5,0
1,459.5,2656,0
1,459.5,2657,0
1,459.5,2658,0
1,459,2658.5,0
1,458.5,2659,0
1,458.5,2660,0
1,458.5,2661,0
1,458.5,2662,0
1,458.5,2663,0
1,458.5,2664,0
1,458.5,2665,0
1,458.5,2666,0
1,458.5,2667,0
1,458.5,2668,0
1,458.5,2669,0
1,458.5,2670,0
1,458.5,2671,0
1,458.5,2672,0
1,458.5,2673,0
1,458,2673.5,0
1,457.5,2674,0
1,457.5,2675,0
1,457.5,2676,0
1,457.5,2677,0
1,457.5,2678,0
1,457.5,2679,0
1,457.5,2680,0
1,457.5,2681,0
1,457,2681.5,0
1,456.5,2682,0
1,456.5,2683,0
1,456.5,2684,0
1,456.5,2685,0
1,456.5,2686,0
1,456.5,2687,0
1,456.5,2688,0
1,456.5,2689,0
1,456.5,2690,0
1,456,2690.5,0
1,455.5,2691,0
1,455.5,2692,0
1,455.5,2693,0
1,455.5,2694,0
1,455.5,2695,0
1,455.5,2696,0
1,455.5,2697,0
1,455.5,2698,0
1,455.5,2699,0
1,455.5,2700,0
1,455.5,2701,0
1,455,2701.5,0
1,454.5,2702,0
1,454.5,2703,0
1,454.5,2704,0
1,454.5,2705,0
1,454.5,2706,0
1,454.5,2707,0
1,454.5,2708,0
1,454.5,2709,0
1,454,2709.5,0
1,453.5,2710,0
1,453.5,2711,0
1,453.5,2712,0
1,453.5,2713,0
1,453.5,2714,0
1,453.5,2715,0
1,453.5,2716,0
1,453.5,2717,0
1,453.5,2718,0
1,453.5,2719,0
1,453.5,2720,0
1,453.5,2721,0
1,453.5,2722,0
1,453.5,2723,0
1,453,2723.5,0
1,452.5,2724,0
1,452.5,2725,0
1,452.5,2726,0
1,452.5,2727,0
1,452.5,2728,0
1,452.5,2729,0
1,452.5,2730,0
1,452.5,2731,0
1,452.5,2732,0
1,452.5,2733,0
1,452,2733.5,0
1,451.5,2734,0
1,451.5,2735,0
1,451.5,2736,0
1,451.5,2737,0
1,451.5,2738,0
1,451.5,2739,0
1,451.5,2740,0
1,451.5,2741,0
1,451.5,2742,0
1,451.5,2743,0
1,451,2743.5,0
1,450.5,2744,0
1,450.5,2745,0
1,450.5,2746,0
1,450.5,2747,0
1,450.5,2748,0
1,450.5,2749,0
1,450.5,2750,0
1,450.5,2751,0
1,450,2751.5,0
1,449.5,2752,0
1,449.5,2753,0
1,449.5,2754,0
1,449.5,2755,0
1,449.5,2756,0
1,449.5,2757,0
1,449.5,2758,0
1,449.5,2759,0
1,449,2759.5,0
1,448.5,2760,0
1,448.5,2761,0
1,448.5,2762,0
1,448.5,2763,0
1,448.5,2764,0
1,448,2764.5,0
1,447.5,2765,0
1,447.5,2766,0
1,447.5,2767,0
1,447.5,2768,0
1,447.5,2769,0
1,447.5,2770,0
1,447.5,2771,0
1,447.5,2772,0
1,447.5,2773,0
1,447,2773.5,0
1,446.5,2774,0
1,446.5,2775,0
1,446.5,2776,0
1,446.5,2777,0
1,446.5,2778,0
1,446.5,2779,0
1,446.5,2780,0
1,446.5,2781,0
1,446,2781.5,0
1,445.5,2782,0
1,445.5,2783,0
1,445.5,2784,0
1,445.5,2785,0
1,445,2785.5,0
1,444.5,2786,0
1,444.5,2787,0
1,444.5,2788,0
1,444.5,2789,0
1,444.5,2790,0
1,444.5,2791,0
1,444.5,2792,0
1,444.5,2793,0
1,444.5,2794,0
1,444.5,2795,0
1,444.5,2796,0
1,444.5,2797,0
1,444.5,2798,0
1,444,2798.5,0
1,443.5,2799,0
1,443.5,2800,0
1,443.5,2801,0
1,443.5,2802,0
1,443.5,2803,0
1,443.5,2804,0
1,443.5,2805,0
1,443.5,2806,0
1,443,2806.5,0
1,442.5,2807,0
1,442.5,2808,0
1,442.5,2809,0
1,442.5,2810,0
1,442.5,2811,0
1,442.5,2812,0
1,442.5,2813,0
1,442.5,2814,0
