"Points:0","Points:1","Points:2"
234.5,1272,0
234.5,1273,0
234.5,1274,0
234,1274.5,0
233.5,1275,0
233.5,1276,0
234,1276.5,0
234.5,1277,0
234,1277.5,0
233.5,1278,0
233.5,1279,0
233,1279.5,0
232.5,1280,0
232.5,1281,0
233,1281.5,0
233.5,1282,0
233,1282.5,0
232.5,1283,0
232.5,1284,0
232.5,1285,0
232.5,1286,0
232.5,1287,0
232,1287.5,0
231.5,1288,0
231.5,1289,0
231.5,1290,0
231.5,1291,0
231.5,1292,0
231.5,1293,0
231,1293.5,0
230.5,1294,0
230.5,1295,0
230.5,1296,0
230.5,1297,0
230,1297.5,0
229.5,1298,0
229.5,1299,0
229.5,1300,0
229.5,1301,0
229,1301.5,0
228.5,1302,0
228.5,1303,0
228.5,1304,0
228.5,1305,0
228.5,1306,0
228.5,1307,0
228,1307.5,0
227.5,1308,0
227.5,1309,0
227.5,1310,0
227.5,1311,0
227,1311.5,0
226.5,1312,0
226.5,1313,0
226.5,1314,0
226.5,1315,0
226.5,1316,0
226.5,1317,0
226,1317.5,0
225.5,1318,0
225.5,1319,0
225.5,1320,0
225.5,1321,0
225.5,1322,0
225,1322.5,0
224.5,1323,0
224.5,1324,0
224.5,1325,0
224.5,1326,0
224.5,1327,0
224,1327.5,0
223.5,1328,0
223.5,1329,0
223.5,1330,0
223.5,1331,0
223.5,1332,0
223,1332.5,0
222.5,1333,0
222.5,1334,0
222.5,1335,0
222,1335.5,0
221.5,1336,0
221.5,1337,0
221.5,1338,0
221.5,1339,0
221.5,1340,0
221.5,1341,0
221,1341.5,0
220.5,1342,0
220.5,1343,0
220.5,1344,0
220.5,1345,0
220,1345.5,0
219.5,1346,0
219.5,1347,0
220,1347.5,0
220.5,1348,0
220,1348.5,0
219.5,1349,0
219.5,1350,0
219.5,1351,0
219.5,1352,0
219.5,1353,0
219.5,1354,0
219.5,1355,0
219.5,1356,0
219.5,1357,0
219.5,1358,0
219.5,1359,0
219.5,1360,0
219.5,1361,0
219.5,1362,0
219.5,1363,0
219.5,1364,0
219.5,1365,0
219.5,1366,0
219,1366.5,0
218.5,1367,0
218.5,1368,0
218.5,1369,0
218.5,1370,0
218.5,1371,0
218.5,1372,0
218.5,1373,0
218.5,1374,0
218.5,1375,0
218.5,1376,0
218.5,1377,0
218.5,1378,0
218.5,1379,0
218,1379.5,0
217.5,1380,0
217.5,1381,0
217.5,1382,0
217.5,1383,0
217.5,1384,0
217.5,1385,0
217.5,1386,0
217.5,1387,0
217,1387.5,0
216.5,1388,0
216.5,1389,0
216.5,1390,0
216.5,1391,0
216.5,1392,0
216.5,1393,0
216.5,1394,0
216.5,1395,0
216.5,1396,0
216,1396.5,0
215.5,1397,0
215.5,1398,0
215.5,1399,0
215.5,1400,0
215.5,1401,0
215.5,1402,0
215.5,1403,0
215.5,1404,0
215.5,1405,0
215,1405.5,0
214.5,1406,0
214.5,1407,0
214.5,1408,0
214.5,1409,0
214.5,1410,0
214.5,1411,0
214.5,1412,0
214.5,1413,0
214,1413.5,0
213.5,1414,0
213.5,1415,0
213.5,1416,0
213,1416.5,0
