file_name,eid,class_mark,sort_class_mark,orientation
137681,MS-DAR-00209-00015-000-00079.jpg,DAR 209.15: 41r,DAR 00209.00015: 00041R,r
138452,MS-DAR-00209-00015-000-00078.jpg,DAR 209.15: 40v,DAR 00209.00015: 00040V,v
137679,MS-DAR-00209-00015-000-00077.jpg,DAR 209.15: 40r,DAR 00209.00015: 00040R,r
138451,MS-DAR-00209-00015-000-00076.jpg,DAR 209.15: 39v,DAR 00209.00015: 00039V,v
137678,MS-DAR-00209-00015-000-00075.jpg,DAR 209.15: 39r,DAR 00209.00015: 00039R,r
138450,MS-DAR-00209-00015-000-00074.jpg,DAR 209.15: 38v,DAR 00209.00015: 00038V,v
137677,MS-DAR-00209-00015-000-00073.jpg,DAR 209.15: 38r,DAR 00209.00015: 00038R,r
138449,MS-DAR-00209-00015-000-00072.jpg,DAR 209.15: 37v,DAR 00209.00015: 00037V,v
137676,MS-DAR-00209-00015-000-00071.jpg,DAR 209.15: 37r,DAR 00209.00015: 00037R,r
138448,MS-DAR-00209-00015-000-00070.jpg,DAR 209.15: 36v,DAR 00209.00015: 00036V,v
137675,MS-DAR-00209-00015-000-00069.jpg,DAR 209.15: 36r,DAR 00209.00015: 00036R,r
138447,MS-DAR-00209-00015-000-00068.jpg,DAR 209.15: 35v,DAR 00209.00015: 00035V,v
137674,MS-DAR-00209-00015-000-00067.jpg,DAR 209.15: 35r,DAR 00209.00015: 00035R,r
138446,MS-DAR-00209-00015-000-00066.jpg,DAR 209.15: 34v,DAR 00209.00015: 00034V,v
137673,MS-DAR-00209-00015-000-00065.jpg,DAR 209.15: 34r,DAR 00209.00015: 00034R,r
138445,MS-DAR-00209-00015-000-00064.jpg,DAR 209.15: 33v,DAR 00209.00015: 00033V,v
137672,MS-DAR-00209-00015-000-00063.jpg,DAR 209.15: 33r,DAR 00209.00015: 00033R,r
138444,MS-DAR-00209-00015-000-00062.jpg,DAR 209.15: 32v,DAR 00209.00015: 00032V,v
137671,MS-DAR-00209-00015-000-00061.jpg,DAR 209.15: 32r,DAR 00209.00015: 00032R,r
138443,MS-DAR-00209-00015-000-00060.jpg,DAR 209.15: 31v,DAR 00209.00015: 00031V,v
137670,MS-DAR-00209-00015-000-00059.jpg,DAR 209.15: 31r,DAR 00209.00015: 00031R,r
138442,MS-DAR-00209-00015-000-00058.jpg,DAR 209.15: 30v,DAR 00209.00015: 00030V,v
137669,MS-DAR-00209-00015-000-00057.jpg,DAR 209.15: 30r,DAR 00209.00015: 00030R,r
138441,MS-DAR-00209-00015-000-00056.jpg,DAR 209.15: 29v,DAR 00209.00015: 00029V,v
137668,MS-DAR-00209-00015-000-00055.jpg,DAR 209.15: 29r,DAR 00209.00015: 00029R,r
138440,MS-DAR-00209-00015-000-00054.jpg,DAR 209.15: 28v,DAR 00209.00015: 00028V,v
137667,MS-DAR-00209-00015-000-00053.jpg,DAR 209.15: 28r,DAR 00209.00015: 00028R,r
138439,MS-DAR-00209-00015-000-00052.jpg,DAR 209.15: 27v,DAR 00209.00015: 00027V,v
137666,MS-DAR-00209-00015-000-00051.jpg,DAR 209.15: 27r,DAR 00209.00015: 00027R,r
138438,MS-DAR-00209-00015-000-00050.jpg,DAR 209.15: 26v,DAR 00209.00015: 00026V,v
137665,MS-DAR-00209-00015-000-00049.jpg,DAR 209.15: 26r,DAR 00209.00015: 00026R,r
138437,MS-DAR-00209-00015-000-00048.jpg,DAR 209.15: 25v,DAR 00209.00015: 00025V,v
137664,MS-DAR-00209-00015-000-00047.jpg,DAR 209.15: 25r,DAR 00209.00015: 00025R,r
138436,MS-DAR-00209-00015-000-00046.jpg,DAR 209.15: 24v,DAR 00209.00015: 00024V,v
137663,MS-DAR-00209-00015-000-00045.jpg,DAR 209.15: 24r,DAR 00209.00015: 00024R,r
138435,MS-DAR-00209-00015-000-00044.jpg,DAR 209.15: 23v,DAR 00209.00015: 00023V,v
